Player,Pos,Date,Injury,Status
Zaccharie Risacher,SF,"Mon, Jan 26",Knee,Game Time Decision
Kristaps Porzingis,C,"Mon, Jan 26",Achilles,Expected to be out until at least Feb 3
N'Faly Dante,C,"Thu, Jan 15",Knee,Out for the season
Luka Garza,PF,"Mon, Jan 26",Illness,Game Time Decision
Chris Boucher,C,"Mon, Jan 26",Illness,Game Time Decision
Jayson Tatum,PF,"Wed, Oct 1",Achilles,Expected to be out until at least Apr 1
Tyrese Martin,SF,"Mon, Jan 26",Knee,Game Time Decision
Cam Thomas,SG,"Mon, Jan 26",Ankle,Game Time Decision
Haywood Highsmith,SF,"Mon, Jan 26",Knee,Expected to be out until at least Feb 1
Nolan Traore,PG,"Mon, Jan 26",Illness,Game Time Decision
Noah Clowney,PF,"Mon, Jan 26",Back,Expected to be out until at least Jan 29
KJ Simpson,PG,"Mon, Jan 26",Hip,Game Time Decision
Mason Plumlee,C,"Thu, Jan 22",Groin,Expected to be out until at least Feb 19
Tre Jones,PG,"Mon, Jan 26",Hamstring,Game Time Decision
Zach Collins,C,"Wed, Jan 14",Toe,Expected to be out until at least Feb 19
Noa Essengue,PF,"Wed, Dec 3",Shoulder,Out for the season
Sam Merrill,SG,"Mon, Jan 26",Personal,Game Time Decision
De'Andre Hunter,SF,"Mon, Jan 26",Knee,Game Time Decision
Darius Garland,PG,"Mon, Jan 26",Toe,Game Time Decision
Chris Livingston,SF,"Mon, Jan 26",Wrist,Game Time Decision
Luke Travers,SF,"Sun, Jan 25",Illness,Game Time Decision
Max Strus,SG,"Thu, Jan 22",Foot,Expected to be out until at least Feb 19
Klay Thompson,SG,"Sun, Jan 25",Knee,Game Time Decision
Moussa Cisse,C,"Sun, Jan 25",Illness,Game Time Decision
Cooper Flagg,SF,"Sun, Jan 25",Ankle,Game Time Decision
Brandon Williams,PG,"Sun, Jan 25",Knee,Game Time Decision
Max Christie,SG,"Sun, Jan 25",Ankle,Game Time Decision
Anthony Davis,C,"Tue, Jan 13",Finger,Expected to be out until at least Mar 1
Kyrie Irving,PG,"Sat, Dec 13",Knee,Expected to be out until at least Feb 12
Dereck Lively II,C,"Wed, Dec 10",Foot,Out for the season
Dante Exum,SG,"Thu, Nov 20",Knee,Out for the season
Christian Braun,SG,"Mon, Jan 26",Ankle,Expected to be out until at least Jan 29
Cameron Johnson,SF,"Mon, Jan 26",Knee,Expected to be out until at least Feb 3
Aaron Gordon,PF,"Mon, Jan 26",Hamstring,Expected to be out until at least Jan 29
Jonas Valanciunas,C,"Sun, Jan 25",Calf,Game Time Decision
Peyton Watson,SF,"Sun, Jan 25",Ankle,Game Time Decision
Jamal Murray,PG,"Sun, Jan 25",Hamstring,Game Time Decision
Nikola Jokic,C,"Tue, Dec 30",Knee,Expected to be out until at least Feb 1
Tamar Bates,SG,"Mon, Dec 22",Foot,Expected to be out until at least Apr 1
VertCaris LeVert,SG,"Mon, Jan 26",Illness,Expected to be out until at least Jan 29
Al Horford,C,"Tue, Jan 27",Toe,Game Time Decision
Draymond Green,PF,"Tue, Jan 27",Back,Game Time Decision
De'Anthony Melton,SG,"Tue, Jan 27",Knee,Game Time Decision
L.J. Cryer,PG,"Tue, Jan 27",Hamstring,Game Time Decision
Stephen Curry,PG,"Tue, Jan 27",Knee,Game Time Decision
